CD40	has relation to	Large cell anaplastic lymphoma T cell and Null cell type (disorder)
TUBB1	has relation to	Non-small cell lung cancer (disorder)
RARA	has relation to	Burkitt lymphoma (morphologic abnormality)
HBD (hemoglobin subunit delta)	has relation to	Postmenopausal osteoporosis (disorder)
S1PR5	has relation to	Polycythemia vera (disorder)
BARD1	has relation to	Abdominal migraine (disorder)
TUBA1C	has relation to	Mononeuropathy simplex due to diabetes mellitus (disorder)
PIK3R1	has relation to	Prolapse (morphologic abnormality)
EGFR	has relation to	Epilepsy (disorder)
PSMA1	has relation to	Malignant melanoma (disorder)
KCND3	has relation to	Cerebrovascular accident (disorder)
PSMD7	has relation to	Mixed glioma (disorder)
WDFY3-AS1	has relation to	Pineal hyperplasia AND diabetes mellitus syndrome (disorder)
ADRA1B	has relation to	Mental disorder (disorder)
FGA	has relation to	Tooth disorder (disorder)
ADRM1	has relation to	Bone necrosis (disorder)
HDAC4	has relation to	Follicular low grade B-cell lymphoma (disorder)
PSMA2	has relation to	Olfactory seizure (disorder)
PDE4B	has relation to	Acute relapsing multiple sclerosis (disorder)
BRD2	has relation to	Non-Hodgkin's lymphoma (disorder)
MMP7	has relation to	Graft-versus-host disease (disorder)
LRRC37A2	has relation to	Alcohol dependence (disorder)
PDE4B	has relation to	von Willebrand disorder (disorder)
DRD3	has relation to	Glioma (morphologic abnormality)
TOP2A	has relation to	Emphysema (morphologic abnormality)
POLD1	has relation to	Attention deficit hyperactivity disorder (disorder)
EPHA4	has relation to	Sudden infant death syndrome (finding)
NDUFB6	has relation to	Neuronal ceroid lipofuscinosis (disorder)
NDUFB3	has relation to	Acute renal failure syndrome (disorder)
SEM1	has relation to	Cholangiocarcinoma of biliary tract (disorder)
MAP3K12	has relation to	Disorder of hyperalimentation (disorder)
TYK2	has relation to	Acute myeloid leukemia, disease (disorder)
GRIN2A	has relation to	Neoplasm of lung (disorder)
ADRA2A	has relation to	Neoplasm of urethra (disorder)
FBXL4	has relation to	Congenital hypoplastic anemia (disorder)
H4-16	has relation to	Malignant immature teratoma (morphologic abnormality)
GABRB3	has relation to	Hereditary disease (disorder)
RRM2	has relation to	Burkitt's lymphoma (disorder)
HDAC3	has relation to	Transitional cell carcinoma (morphologic abnormality)
DIAPH1	has relation to	Intracapillary glomerulosclerosis of kidney due to diabetes mellitus (disorder)
CACNA2D1	has relation to	Endogenous depression (disorder)
DRD4	has relation to	Athetoid cerebral palsy (disorder)
SCN4A	has relation to	Reflex epilepsy (disorder)
RRAS	has relation to	Retinal dystrophy (disorder)
YES1	has relation to	Premature pregnancy delivered (finding)
CACNA1I	has relation to	Vernal conjunctivitis (disorder)
PRKCZ	has relation to	Genetic disease (disorder)
FLT1	has relation to	Angioimmunoblastic lymphadenopathy (morphologic abnormality)
GABRA4	has relation to	Malignant neoplasm of brain (disorder)
TUBA3E	has relation to	Thalassemia intermedia (disorder)
COL6A1	has relation to	Malignant neoplasm of breast (disorder)
PSMB4	has relation to	Primary cardiomyopathy (disorder)
CACNA1S	has relation to	Hutterite type of muscular dystrophy (disorder)
DNMT1	has relation to	Azoospermia (finding)
NFKB1	has relation to	Reticulosarcoma (disorder)
SCN11A	has relation to	Gynandroblastoma (morphologic abnormality)
HDAC1	has relation to	Complete trisomy 21 syndrome (disorder)
GABRB1	has relation to	Congenital pontocerebellar hypoplasia type 4 (disorder)
ADRA1D	has relation to	Disorder of cardiovascular system (disorder)
MAPT	has relation to	Japanese encephalitis virus disease (disorder)
AGPAT2	has relation to	Adams-Oliver syndrome (disorder)
PRIM2	has relation to	Hereditary disease (disorder)
CACNA1C	has relation to	Prolymphocytic leukemia (morphologic abnormality)
PIK3R2	has relation to	Spindle cell sarcoma (morphologic abnormality)
SMARCA4	has relation to	Gilbert's syndrome (disorder)
PIK3R5	has relation to	Hodgkin lymphoma, nodular lymphocyte predominance (morphologic abnormality)
VMA21	has relation to	Scrub typhus (disorder)
HR	has relation to	Viral hepatitis type B (disorder)
CACNG3	has relation to	Collecting duct carcinoma (morphologic abnormality)
FYN	has relation to	Dissociated vertical deviation (disorder)
ENTREP1	has relation to	Retinitis pigmentosa-deafness syndrome (disorder)
GRM2	has relation to	Benign neoplasm of peripheral nerve (disorder)
POLA1	has relation to	Primary squamous cell carcinoma of larynx (disorder)
MAP2K1	has relation to	Hodgkin's granuloma (disorder)
TUBA3C	has relation to	Neoplasm of endometrium (disorder)
GRIN2C	has relation to	Intellectual functioning disability (finding)
TRIM63	has relation to	Lhermitte-Duclos disease (disorder)
POLD4	has relation to	Epilepsy (disorder)
TNNC1	has relation to	Migraine (disorder)
TUBA3E	has relation to	Gastrointestinal stromal sarcoma (morphologic abnormality)
PRKCI	has relation to	Mechanical low back pain (finding)
METAP1D	has relation to	Dandy-Walker syndrome (disorder)
PSMB11	has relation to	Alveolar adenocarcinoma (morphologic abnormality)
KLHL20	has relation to	Status migrainosus (disorder)
TRPV1	has relation to	von Willebrand disease, type IIA (disorder)
DHFR	has relation to	Crohn's disease of large bowel (disorder)
DRD3	has relation to	Carcinoma of fallopian tube (disorder)
WEE1	has relation to	Non-small cell lung cancer (disorder)
PDGFRB	has relation to	Vasomotor rhinitis (disorder)
IMPA1	has relation to	Idiopathic pulmonary fibrosis (disorder)
PSMA4	has relation to	Acute myeloid leukemia, M6 type (morphologic abnormality)
HGSNAT	has relation to	Progressive supranuclear palsy (disorder)
NDUFA3	has relation to	Primary carcinoma of liver (disorder)
GBE1	has relation to	Acute infective polyneuritis (disorder)
TBL1XR1-AS1	has relation to	Senile osteoporosis (disorder)
GABRP	has relation to	Neutrophilic urticaria (disorder)
CACNG2	has relation to	Hodgkin lymphoma, lymphocyte depletion (morphologic abnormality)
GABRE	has relation to	Disorder of the peripheral nervous system (disorder)
MMP7	has relation to	Oat cell carcinoma of lung (disorder)
HDAC6	has relation to	Neoplasm of abdominal wall (disorder)
PSMD1	has relation to	Follicular malignant lymphoma - mixed cell type (disorder)
POLE3	has relation to	Malignant tumor of kidney (disorder)
FAP	has relation to	Malignant neoplastic disease (disorder)
CACNB1	has relation to	Papillary meningioma (morphologic abnormality)
PSMD14	has relation to	Neoplasm of lung (disorder)
KIT	has relation to	Acute relapsing multiple sclerosis (disorder)
RRM2	has relation to	Malignant tumor of lesser curve of stomach (disorder)
CFB	has relation to	Non-Hodgkin's lymphoma (disorder)
GPR179	has relation to	Mixed glioma (disorder)
PSMC3	has relation to	Malignant tumor of lesser curve of stomach (disorder)
CLDN7	has relation to	Autoimmune hemolytic anemia (disorder)
HGF	has relation to	Mesenchymoma (morphologic abnormality)
NDUFV1	has relation to	Idiopathic membranous glomerulonephritis (disorder)
PTGS2	has relation to	Neoplasm of pancreas (disorder)
HMGCR	has relation to	Dandy-Walker syndrome (disorder)
DYNC1H1	has relation to	Curry-Hall syndrome (disorder)
PRKCZ	has relation to	Mixed oligoastrocytoma (morphologic abnormality)
TUBB4B	has relation to	Carcinoma of breast (disorder)
LBP	has relation to	B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma (morphologic abnormality)
PSMD3	has relation to	Age-related macular degeneration (disorder)
MTNR1A	has relation to	Congestive heart failure (disorder)
KIT	has relation to	Induratio penis plastica (disorder)
RPL8	has relation to	T-cell acute lymphoblastic leukemia (disorder)
POLE	has relation to	Disorder of eye proper (disorder)
MTNR1B	has relation to	Chronic lymphoid leukemia, disease (disorder)
SMARCA4	has relation to	Focal glomerular sclerosis (disorder)
SCN3A	has relation to	Hemorrhage (morphologic abnormality)
SCN4A	has relation to	Carcinoma of breast (disorder)
ACE	has relation to	Mononeuropathy simplex due to diabetes mellitus (disorder)
IL13RA1	has relation to	Hodgkin lymphoma, lymphocyte-rich (disorder)
PRKCA	has relation to	Familial malignant neoplasm of prostate (disorder)
CHRNA6	has relation to	Pigmentary glaucoma (disorder)
RPGR	has relation to	Mixed oligoastrocytoma (disorder)
PIK3R5	has relation to	Malignant tumor of prostate (disorder)
KIT	has relation to	Malignant lymphoma (disorder)
IRF1	has relation to	Aneurysm of thoracic aorta (disorder)
RAF1	has relation to	Wound botulism (disorder)
IL6	has relation to	Congestive heart failure (disorder)
SRC	has relation to	Bacterial infectious disease (disorder)
CACNG4	has relation to	Small cell neuroendocrine carcinoma (morphologic abnormality)
CA4	has relation to	Brief reactive psychosis (disorder)
PDE4D	has relation to	Primary familial dilated cardiomyopathy (disorder)
CACNA1S	has relation to	Hematologic neoplasm (disorder)
DNASE1L1	has relation to	Cribriform carcinoma (morphologic abnormality)
TUBA1C	has relation to	Malignant tumor of pancreas (disorder)
CCND1	has relation to	Follicular lymphoma, grade 1 (morphologic abnormality)
SCN11A	has relation to	Cholangiocarcinoma of biliary tract (disorder)
HCK	has relation to	Clear cell carcinoma of kidney (disorder)
SCN8A	has relation to	Large cell anaplastic lymphoma T cell and Null cell type (disorder)
PSMB1	has relation to	T-cell lymphoma (disorder)
KCNH6	has relation to	Neuroendocrine tumor (disorder)
NDUFAF1	has relation to	Aneurysm of anterior communicating artery (disorder)
PTGS2	has relation to	Hyperinsulinism (disorder)
HDAC1	has relation to	Dementia (disorder)
SCN2A	has relation to	Mucous inflammation (morphologic abnormality)
POLA2	has relation to	Neoplasm of pancreas (disorder)
TUBA3C	has relation to	Neoplasm of urethra (disorder)
PSMB4	has relation to	Severe acute respiratory syndrome (disorder)
GRIA3	has relation to	Epithelioid sarcoma (morphologic abnormality)
PTGS1	has relation to	Malignant tumor of neck (disorder)
CCDC6	has relation to	Muscular rheumatism (disorder)
HTR2A	has relation to	Neuroendocrine neoplasm (morphologic abnormality)
PRKCZ	has relation to	Sepsis of the newborn (disorder)
ANGPT2	has relation to	Acute biphenotypic leukemia (morphologic abnormality)
GRIN3A	has relation to	Cholestanol storage disease (disorder)
IGLC2	has relation to	Neoplasm, benign (morphologic abnormality)
RARB	has relation to	Nerve root disorder (disorder)
PSMD14	has relation to	Status migrainosus (disorder)
NDUFA4L2	has relation to	Non-Hodgkin's lymphoma (disorder)
PDCD1	has relation to	Viral hepatitis type B (disorder)
GABRA4	has relation to	Polyneuropathy (disorder)
BCL2L1	has relation to	Malignant neoplastic disease (disorder)
PPAT	has relation to	Persistent alcohol abuse (disorder)
RRM2B	has relation to	Epileptic seizure (finding)
TUBA1C	has relation to	Posttraumatic stress disorder (disorder)
PSMB4	has relation to	Retinopathy of prematurity (disorder)
PDE7A	has relation to	Partial seizure (disorder)
POLE2	has relation to	Myelodysplastic syndrome (morphologic abnormality)
GABRA3	has relation to	Carcinoma of male breast (disorder)
SLC9A6	has relation to	Oligodendroglioma (disorder)
ESR2	has relation to	Drug abuse (disorder)
CACNG2	has relation to	Disorder of refraction (disorder)
DYNC2I2	has relation to	Non-Hodgkin's lymphoma (disorder)
RIPK1	has relation to	Malignant mesothelioma of pleura (disorder)
PDE4D	has relation to	Detrusor overactivity (disorder)
SCN9A	has relation to	Temporary loss of memory (finding)
TUBA1B	has relation to	Senile dementia with paranoia (disorder)
UBN1	has relation to	Follicular lymphoma, grade 2 (morphologic abnormality)
TRPC1	has relation to	Diabetes mellitus (disorder)
GABRG2	has relation to	Familial malignant neoplasm of prostate (disorder)
TOP2A	has relation to	Pustular psoriasis of palms and soles (disorder)
ITGB2	has relation to	Malignant tumor of prostate (disorder)
NDUFS7	has relation to	Musicogenic seizure (finding)
COL1A1	has relation to	Malignant lymphoma (disorder)
FBN2	has relation to	Cribriform carcinoma (morphologic abnormality)
CD38	has relation to	Malignant tumor of prostate (disorder)
NLGN1	has relation to	Carcinoma of breast (disorder)
GJB6	has relation to	Proliferative vitreoretinopathy (disorder)
TRAC	has relation to	Peripheral nerve disease (disorder)
APH1A	has relation to	Atypical hyperplasia of lactiferous duct (disorder)
FGR	has relation to	Glioma (disorder)
FAAH	has relation to	Acute confusional migraine (disorder)
MCFD2	has relation to	Infantile eczema (disorder)
PDE4A	has relation to	Primary malignant neoplasm of large intestine (disorder)
INPPL1	has relation to	Merkel cell carcinoma (morphologic abnormality)
CTBP1	has relation to	Undifferentiated spondylitis (disorder)
MMP1	has relation to	Acute biphenotypic leukemia (morphologic abnormality)
GRIN2B	has relation to	Drug-induced hepatitis (disorder)
CD2	has relation to	Genetic disease (disorder)
SNAP25	has relation to	B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma (morphologic abnormality)
TUBB4A	has relation to	Benign neoplastic disease (disorder)
GABRB1	has relation to	Dysosteosclerosis (disorder)
CHRM2	has relation to	Primary degenerative dementia of the Alzheimer type, senile onset (disorder)
POLA1	has relation to	Neoplasm (morphologic abnormality)
PTGS1	has relation to	Factor VIII deficiency (disorder)
GLDC	has relation to	Fibrillary astrocytoma (morphologic abnormality)
PDE2A	has relation to	Right ventricular failure (disorder)
IMPDH1	has relation to	Genetic disease (disorder)
TOP1MT	has relation to	Acute myeloid leukemia without maturation (morphologic abnormality)
GABRG2	has relation to	Anemia (disorder)
CREB3L1	has relation to	Respiratory insufficiency (disorder)
PSMA2	has relation to	Primary ovarian failure (disorder)
KCNV2	has relation to	Philadelphia chromosome positive chronic myelogenous leukemia (disorder)
POLR2F	has relation to	Malignant melanoma of skin (disorder)
PDE6D	has relation to	Ruptured aortic aneurysm (disorder)
NRP2	has relation to	Menstrual cramp (finding)
PCSK1	has relation to	Nephrotic syndrome (disorder)
BTK	has relation to	Primary malignant neoplasm of brain (disorder)
