CACNB2	has relation to	Nephrotic syndrome (disorder)
TUBB4A	has relation to	Malignant lymphoma, mixed lymphocytic-histiocytic, nodular (disorder)
GABRA5	has relation to	Neoplasm of male breast (disorder)
TUBA4A	has relation to	Non-small cell lung cancer (disorder)
ADRB1	has relation to	Aseptic meningitis (disorder)
SRC	has relation to	Reactive hypoglycemia (disorder)
PSMD1	has relation to	Drug dependence (disorder)
PRSS1	has relation to	Kidney disease (disorder)
BRAF	has relation to	Neoplasm of stomach (disorder)
CACNB4	has relation to	Diabetes mellitus type 2 (disorder)
TUBB3	has relation to	Follicular adenocarcinoma (morphologic abnormality)
HDAC11	has relation to	Graft-versus-host disease (disorder)
PSMB10	has relation to	Radiculitis (disorder)
METAP2	has relation to	Neoplasm of gallbladder (disorder)
CDK18	has relation to	Pleomorphic liposarcoma (morphologic abnormality)
FGR	has relation to	Chronic obstructive lung disease (disorder)
PIK3CG	has relation to	Impaired cognition (finding)
CACNG4	has relation to	Neoplasm of vulva (disorder)
NDUFC2	has relation to	Follicular non-Hodgkin's mixed small cleaved and large cell lymphoma (disorder)
PSMD8	has relation to	Neoplasm of pancreas (disorder)
PDE3B	has relation to	Social fear (finding)
NCSTN	has relation to	Hypertensive disorder, systemic arterial (disorder)
COL1A2	has relation to	Triple negative malignant neoplasm of breast (disorder)
CACNA1F	has relation to	Secondary biliary cirrhosis (disorder)
TERT	has relation to	Neuroblastoma (disorder)
PSMD4	has relation to	Audiogenic epilepsy (disorder)
METAP1	has relation to	Leukemia, disease (disorder)
TRIM36	has relation to	Adams-Oliver syndrome (disorder)
GARIN4	has relation to	Clear cell ependymoma (morphologic abnormality)
KCNV2	has relation to	Neoplasm of ovary (disorder)
POLE2	has relation to	Psychoactive substance dependence (disorder)
STK19	has relation to	Aase syndrome (disorder)
PDE4D	has relation to	Malignant tumor of lung (disorder)
FHIP1B	has relation to	Pustular psoriasis of palms and soles (disorder)
GABRP	has relation to	Hepatopulmonary syndrome (disorder)
TUBB6	has relation to	Asymmetric proximal motor neuropathy due to diabetes mellitus (disorder)
ADORA2A	has relation to	Retinitis pigmentosa-deafness-ataxia syndrome (disorder)
DHFR	has relation to	Neoplasm of male breast (disorder)
TUBB4B	has relation to	Malignant tumor of prostate (disorder)
PDE4D	has relation to	Neoplasm of head (disorder)
POGZ	has relation to	Malignant tumor of biliary tract (disorder)
LMLN	has relation to	Familial cancer of breast (disorder)
CACNA1S	has relation to	Sick headache (disorder)
HDAC2	has relation to	Systolic heart failure (disorder)
MAOA	has relation to	Acute biphenotypic leukemia (morphologic abnormality)
POLE3	has relation to	Neoplasm (morphologic abnormality)
GUCY1A2	has relation to	Neoplasm of colon (disorder)
ITK	has relation to	Pineoblastoma (disorder)
CTBP2	has relation to	Neoplasm of head (disorder)
PSMC6	has relation to	Obese (finding)
NDUFS5	has relation to	Cerebrovascular accident (disorder)
PDE1C	has relation to	Epidermal nevus (morphologic abnormality)
PSMB3	has relation to	Neoplasm (morphologic abnormality)
CACNA1D	has relation to	Epileptic drop attack (disorder)
ADRM1	has relation to	Iliohypogastric nerve neuralgia (finding)
