indonesia	commonbloc2	indonesia
indonesia	reldiplomacy	netherlands
burma	relngo	netherlands
indonesia	commonbloc2	netherlands
indonesia	emigrants3	netherlands
jordan	commonbloc1	netherlands
jordan	blockpositionindex	israel
indonesia	intergovorgs	netherlands
indonesia	timesinceally	netherlands
netherlands	intergovorgs3	netherlands
indonesia	blockpositionindex	netherlands
jordan	ngoorgs3	netherlands
poland	intergovorgs	netherlands
cuba	intergovorgs3	netherlands
indonesia	unweightedunvote	jordan
indonesia	relngo	jordan
jordan	intergovorgs3	brazil
cuba	ngoorgs3	netherlands
indonesia	booktranslations	uk
brazil	intergovorgs3	netherlands
egypt	blockpositionindex	indonesia
jordan	pprotests	israel
jordan	reldiplomacy	netherlands
cuba	violentactions	israel
netherlands	ngo	netherlands
jordan	independence	poland
netherlands	reldiplomacy	netherlands
brazil	conferences	netherlands
israel	relintergovorgs	netherlands
indonesia	commonbloc2	cuba
cuba	intergovorgs	israel
cuba	economicaid	brazil
indonesia	independence	netherlands
jordan	relngo	israel
netherlands	intergovorgs	netherlands
cuba	relngo	uk
netherlands	reldiplomacy	netherlands
poland	reldiplomacy	netherlands
cuba	ngoorgs3	india
israel	officialvisits	uk
cuba	severdiplomatic	uk
netherlands	reltreaties	brazil
brazil	blockpositionindex	netherlands
indonesia	conferences	netherlands
egypt	booktranslations	netherlands
indonesia	exportbooks	israel
indonesia	reldiplomacy	netherlands
brazil	violentactions	netherlands
netherlands	treaties	brazil
israel	commonbloc1	india
indonesia	unweightedunvote	indonesia
indonesia	intergovorgs3	indonesia
israel	pprotests	indonesia
indonesia	intergovorgs3	india
poland	weightedunvote	netherlands
brazil	relbooktranslations	netherlands
brazil	relngo	india
israel	blockpositionindex	uk
cuba	weightedunvote	poland
indonesia	intergovorgs	egypt
israel	militaryactions	netherlands
netherlands	embassy	poland
cuba	intergovorgs	usa
netherlands	commonbloc1	uk
cuba	ngoorgs3	uk
brazil	reltreaties	netherlands
burma	relintergovorgs	uk
china	booktranslations	netherlands
israel	embassy	netherlands
china	commonbloc1	netherlands
cuba	relngo	netherlands
cuba	commonbloc1	israel
cuba	intergovorgs	poland
burma	intergovorgs3	india
burma	commonbloc1	netherlands
poland	intergovorgs	india
ussr	negativebehavior	uk
netherlands	reldiplomacy	netherlands
cuba	reldiplomacy	poland
jordan	relintergovorgs	israel
brazil	exports3	netherlands
egypt	timesinceally	uk
brazil	embassy	cuba
jordan	blockpositionindex	netherlands
netherlands	relintergovorgs	burma
ussr	ngoorgs3	israel
egypt	intergovorgs	netherlands
jordan	reltourism	netherlands
indonesia	commonbloc0	netherlands
ussr	emigrants3	netherlands
cuba	booktranslations	netherlands
brazil	blockpositionindex	netherlands
jordan	relintergovorgs	poland
israel	releconomicaid	israel
india	commonbloc1	netherlands
brazil	commonbloc0	brazil
israel	treaties	israel
indonesia	tourism	indonesia
egypt	intergovorgs	uk
brazil	economicaid	netherlands
brazil	ngo	egypt
israel	independence	brazil
indonesia	exports3	israel
burma	ngo	brazil
india	commonbloc1	netherlands
cuba	reltreaties	indonesia
china	militaryactions	netherlands
egypt	ngoorgs3	uk
indonesia	officialvisits	brazil
ussr	releconomicaid	brazil
brazil	intergovorgs3	brazil
cuba	blockpositionindex	burma
poland	reltreaties	brazil
burma	ngoorgs3	brazil
netherlands	intergovorgs3	china
netherlands	relexports	indonesia
israel	commonbloc1	netherlands
burma	ngoorgs3	egypt
poland	timesinceally	poland
indonesia	ngo	india
poland	relexports	indonesia
israel	relngo	netherlands
netherlands	commonbloc1	egypt
brazil	reldiplomacy	israel
netherlands	relbooktranslations	india
poland	embassy	netherlands
burma	ngo	uk
cuba	conferences	indonesia
netherlands	commonbloc1	uk
egypt	commonbloc2	netherlands
burma	commonbloc0	netherlands
netherlands	relintergovorgs	uk
israel	blockpositionindex	egypt
jordan	releconomicaid	israel
netherlands	relexports	ussr
poland	ngo	india
